"","TS","Duration"
"194",1574757262,960.672857142857
"195",1574757263,862.405
"196",1574757264,1450.36785714286
"197",1574757265,882.139090909091
"198",1574757266,774.141428571429
"199",1574757267,1358.35
"200",1574757268,1500.602
"201",1574757269,1075.03037037037
"202",1574757270,900.603333333333
"203",1574757271,821.550769230769
"204",1574757272,798.777619047619
"205",1574757273,912.038
"206",1574757274,874.00375
"207",1574757275,1384.53527777778
"208",1574757276,813.9465
"209",1574757277,881.487894736842
"210",1574757278,2230.04428571429
"211",1574757279,830.597692307692
"212",1574757280,1649.93615384615
"213",1574757281,858.936111111111
"214",1574757282,1869.552
"215",1574757283,1244.58666666667
"216",1574757284,2034.63823529412
"217",1574757285,1922.70625
"218",1574757286,844.066428571429
"219",1574757287,969.537142857143
"220",1574757288,2009.86
"221",1574757289,834.940666666667
"222",1574757290,1644.92545454545
"223",1574757291,903.0825
"224",1574757292,831.807647058823
"225",1574757293,871.145294117647
"226",1574757294,904.965555555556
"227",1574757295,1383.46
"228",1574757296,3663.66857142857
"229",1574757297,908.921315789474
"230",1574757298,1550.00125
"231",1574757299,1721.1625
"232",1574757300,868.581875
"233",1574757301,848.948823529412
"234",1574757302,855.625
"235",1574757303,2058.236875
"236",1574757304,953.193125
"237",1574757305,1382.54142857143
"238",1574757306,1156.01454545455
"239",1574757307,844.110588235294
"240",1574757308,1898.23466666667
"241",1574757309,1419.60166666667
"242",1574757310,851.042777777778
"243",1574757311,862.753571428571
"244",1574757313,3240.985
"245",1574757314,4440.73
"246",1574757315,840.6340625
"247",1574757316,869.042195121951
"248",1574757317,2788.337
"249",1574757318,806.855
"250",1574757319,858.5325
"251",1574757320,1272.91368421053
"252",1574757321,928
"253",1574757322,772.513076923077
"254",1574757323,941.861666666667
"255",1574757324,1510.22083333333
"256",1574757325,905.228461538461
"257",1574757326,2221.44115384615
"258",1574757327,931.611842105263
"259",1574757328,1441.02764705882
"260",1574757329,909.053
"261",1574757330,807.22
"262",1574757331,828.944375
"263",1574757332,829.115
"264",1574757333,859.974
"265",1574757334,796.049473684211
"266",1574757335,1692.21153846154
"267",1574757336,1209.58956521739
"268",1574757337,952.0975
"269",1574757338,840.778333333333
"270",1574757339,1320.545
"271",1574757340,1276.015
"272",1574757341,838.823
"273",1574757342,840.244736842105
"274",1574757343,911.102
"275",1574757344,1562.33533333333
"276",1574757345,946.255333333333
"277",1574757346,2466.66333333333
"278",1574757347,1199.41419354839
"279",1574757348,805.5675
"280",1574757349,1659.95461538462
"281",1574757350,1351.12588235294
"282",1574757351,1765.77833333333
"283",1574757352,2142.415625
"284",1574757353,1848.00947368421
"285",1574757354,1029.22875
"286",1574757355,11019.955
"287",1574757356,1137.34111111111
"288",1574757357,2705.32
"289",1574757358,2320.022
"290",1574757359,1255.23333333333
"291",1574757360,1308.23
"292",1574757361,711.45
"293",1574757362,1278.56
"294",1574757364,8568.63
"295",1574757366,1313.025
"296",1574757367,2306.732
"297",1574757368,899.571545454545
"298",1574757369,867.190579710145
"299",1574757370,856.185175438597
"300",1574757371,876.045641025641
"301",1574757372,795.767
"302",1574757373,1229.96666666667
"303",1574757374,784.322592592593
"304",1574757375,932.755625
"305",1574757376,1309.99588235294
"306",1574757377,809.005294117647
"307",1574757378,879.302222222222
"308",1574757379,1699.81363636364
"309",1574757380,1492.66777777778
"310",1574757381,1347.07416666667
"311",1574757382,871.754166666667
"312",1574757383,3361.02
"313",1574757384,1299.54
"314",1574757385,4827.67
"315",1574757386,4656.88666666667
"316",1574757387,799.020277777778
"317",1574757388,1246.0519047619
"318",1574757389,1128.55825
"319",1574757390,918.046538461538
"320",1574757391,1377.75894736842
"321",1574757392,799.871818181818
"322",1574757393,1425.956875
"323",1574757394,922.52
"324",1574757395,831.67
"325",1574757396,3696.99333333333
"326",1574757397,3862.10333333333
"327",1574757398,1076.53114285714
"328",1574757399,1587.435625
"329",1574757400,790.79875
"330",1574757401,1389.53411764706
"331",1574757402,1181.969
"332",1574757403,816.3875
"333",1574757404,933.788
"334",1574757405,869.452142857143
"335",1574757406,830.855333333333
"336",1574757407,789.167368421053
"337",1574757408,1453.11538461538
"338",1574757409,911.192142857143
"339",1574757410,2241.73923076923
"340",1574757411,1565.55076923077
"341",1574757412,885.442
"342",1574757413,859.07125
"343",1574757414,967.79
"344",1574757415,1473.23727272727
"345",1574757416,1442.50235294118
"346",1574757417,767.175555555556
"347",1574757418,1345.935
"348",1574757419,3544.09428571429
"349",1574757420,1070.89814814815
"350",1574757421,1500.52625
"351",1574757422,1735.18825
"352",1574757423,858.7209375
"353",1574757424,1069.85647058824
"354",1574757425,926.426923076923
"355",1574757426,955.527727272727
"356",1574757427,1168.49285714286
"357",1574757428,1829.775
"358",1574757429,875.286923076923
"359",1574757430,901.859230769231
"360",1574757431,1352.58277777778
"361",1574757432,1199.438
"362",1574757433,1241.35772727273
"363",1574757434,1221.91571428571
